Wavelength,HPS(W/m-2),LPS(W/m-2),MH(W/m-2),LED(W/m-2)
657,0.02165,3.07E-05,0.00701,0.00583
658,0.021266667,-4.14E-05,0.00678,0.005706667
659,0.02065,6.39E-05,0.006465,0.00555
660,0.02015,0.000247,0.00615,0.005475
661,0.01985,5.30E-05,0.005945,0.0053
662,0.019366667,9.53E-05,0.005746667,0.00521
663,0.0191,-7.75E-06,0.00583,0.00507
664,0.01915,-4.66E-05,0.005765,0.004965
665,0.019,0.0002185,0.00587,0.00489
666,0.019,4.70E-05,0.00593,0.004806667
667,0.01925,-4.67E-05,0.006185,0.00466
668,0.01945,0.00010795,0.006575,0.004555
669,0.019533333,3.99E-05,0.00691,0.004456667
670,0.0195,4.20E-05,0.006855,0.00434
671,0.0196,4.75E-05,0.0069,0.00426
672,0.01955,0.0002245,0.00677,0.00416
673,0.019133333,0.000151033,0.00661,0.00408
674,0.01875,0.0001695,0.006345,0.00399
675,0.01825,-2.47E-05,0.00598,0.003865
676,0.01785,6.40E-05,0.00562,0.003815
677,0.017233333,3.64E-05,0.005343333,0.003723333
678,0.01655,9.77E-05,0.005145,0.003555
679,0.0159,2.53E-05,0.00502,0.00354
680,0.0153,3.08E-05,0.004835,0.003495
681,0.0146,0.000117467,0.004636667,0.003363333
682,0.01395,-9.70E-05,0.004445,0.003255
683,0.0133,0.00010835,0.004285,0.00323
684,0.012866667,8.45E-05,0.004,0.003123333
685,0.01225,4.20E-05,0.003775,0.00301
686,0.0119,0.0001867,0.00376,0.00301
687,0.01165,-1.93E-05,0.00358,0.00293
688,0.011233333,1.06E-05,0.003456667,0.002836667
689,0.01095,-6.95E-05,0.00349,0.00279
690,0.01055,0.0001425,0.003465,0.00271
691,0.01035,0.00012595,0.00344,0.002685
692,0.010333333,-0.000149533,0.00341,0.002586667
693,0.009985,9.83E-05,0.00341,0.00253
694,0.009855,0.00011465,0.00318,0.002435
695,0.009736667,0.000156133,0.003246667,0.00242
696,0.009475,0.00014335,0.003235,0.00234
697,0.0095,0.00016015,0.003145,0.0023
698,0.009385,0.0001375,0.00299,0.00222
699,0.009263333,0.000126433,0.003093333,0.002216667
700,0.009245,0.000188,0.003,0.00215
701,0.009,5.35E-05,0.003115,0.002115
702,0.009005,0.000127,0.003,0.00202
703,0.008823333,2.94E-05,0.003006667,0.002016667
704,0.008605,0.00018915,0.002915,0.00193
705,0.00866,0.0002005,0.002885,0.00189
706,0.008453333,0.000236333,0.00282,0.001823333
707,0.00837,0.0001445,0.002725,0.00183
708,0.008175,-8.20E-06,0.002805,0.001745
709,0.0081,0.0001275,0.00274,0.001705
710,0.00808,0.000222,0.00269,0.00167
711,0.00797,0.000139,0.00322,0.00161
712,0.007955,4.86E-05,0.00375,0.00162
713,0.00776,6.83E-06,0.004066667,0.001566667
714,0.007705,4.31E-05,0.00405,0.00151
715,0.00766,6.60E-05,0.003985,0.001485
716,0.007535,0.0001123,0.00394,0.00146
717,0.007416667,0.000275333,0.00416,0.00143
718,0.007355,3.10E-06,0.00398,0.001415
719,0.007385,8.95E-06,0.003585,0.00131
720,0.007275,0.0002245,0.003335,0.001285
721,0.007303333,1.10E-05,0.00335,0.00132
722,0.00707,0.0002555,0.003435,0.001285
723,0.006865,2.08E-05,0.00345,0.00121
724,0.007086667,6.23E-05,0.003123333,0.00122
725,0.006805,1.51E-05,0.00292,0.00116
726,0.006865,-6.18E-05,0.002875,0.001105
727,0.00683,2.10E-05,0.00284,0.001095
728,0.006753333,1.13E-05,0.002863333,0.0011
729,0.00667,0.00015165,0.00285,0.001045
730,0.00647,-0.00012715,0.00319,0.001025
731,0.00654,-1.65E-05,0.00314,0.001013333
732,0.00643,5.08E-05,0.00314,0.000995
733,0.006285,0.0002055,0.00308,0.000983
734,0.006365,5.10E-05,0.003095,0.0009445
735,0.00617,0.000297567,0.003026667,0.000921667
736,0.00632,0.0002185,0.00297,0.0009075
737,0.00604,0.0002845,0.00292,0.0008885
738,0.006076667,1.93E-05,0.00281,0.000843
739,0.006115,0.0002555,0.002805,0.0008545
740,0.00601,0.000448,0.002705,0.0008475
741,0.00587,0.000298,0.0028,0.0008065
742,0.00591,0.000144,0.002676667,0.000756333
743,0.005825,5.77E-05,0.002675,0.0007435
744,0.005715,0.00015455,0.00253,0.000764
745,0.005746667,5.18E-05,0.002526667,0.000749333
746,0.00558,0.0001371,0.002385,0.000718
747,0.005655,9.47E-05,0.00239,0.0007095
748,0.005725,0.0003625,0.002335,0.0006765
749,0.00571,0.000487,0.002353333,0.000668333
750,0.005815,0.00037,0.00237,0.0006465
