Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Yokosuka,139.6571239,35.3012498,JMA,0.411,232.88,0.201,261.72,NaN,NaN,NaN,NaN,0.241,39.39,0.19,20.9,NaN,NaN,NaN,NaN
Yonaguni,122.9403118,24.4503418,JMA,0.444,306.6,0.19,329.15,NaN,NaN,NaN,NaN,0.201,96.95,0.167,73.92,NaN,NaN,NaN,NaN
Yoshima,133.8208781,34.3828106,JMA,0.903,57.647,0.314,88.587,NaN,NaN,NaN,NaN,0.323,99.583,0.24,75.573,NaN,NaN,NaN,NaN
Yoshioka,140.2611209,41.4762103,JMA,0.147,208.013,0.067,244.133,NaN,NaN,NaN,NaN,0.108,69.977,0.094,55.637,NaN,NaN,NaN,NaN
Anheung,126.1316457,36.6751528,KHAO,2.101,201.267,0.824,245.19,0.387,184.506,0.231,240.442,0.355,154.641,0.27,125.914,0.106,148.569,0.053,105.726
Ansan,126.647375,37.1912137,KHAO,2.694,224.923,1.081,272.393,0.486,209.931,0.303,267.65,0.387,165.781,0.29,136.35,0.112,160.884,0.056,115.737
Boryeong,126.4842361,36.4064434,KHAO,2.284,193.579,0.889,238.535,0.421,177.457,0.249,234.15,0.355,150.315,0.272,122.125,0.106,145.108,0.053,102.403
Busan,129.0345216,35.0959436,KHAO,0.375,338.563,0.177,6.072,0.073,333.319,0.049,358.599,0.044,11.456,0.017,343.19,0.013,12.868,0.001,332.5
Busan newport,128.786944,35.074444,KHAO,0.547,342.478,0.259,9.646,0.106,337.924,0.071,1.944,0.077,26.752,0.043,4.529,0.025,24.191,0.008,347.979
Chuja Islands,126.2999582,33.9612984,KHAO,0.865,64.946,0.338,87.427,0.191,52.58,0.09,82.044,0.264,86.132,0.199,64.302,0.085,81.615,0.041,48.069
Daesan,126.3517823,37.0077892,KHAO,2.48,217.435,0.989,263.697,0.449,202.143,0.275,258.755,0.382,162.102,0.287,133.084,0.111,156.026,0.055,112.473
Eocheongdo,125.985744,36.1167152,KHAO,1.82,186.14,0.703,229.412,0.342,169.189,0.192,225.5,0.326,148.321,0.253,119.954,0.1,142.269,0.05,99.628
Ganghwa bridge,126.5221695,37.7313392,KHAO,2.124,274.967,0.728,329.116,0.352,261.246,0.2,321.308,0.299,186.332,0.216,150.167,0.084,174.925,0.039,125.622
Geojedo,128.7004878,34.8015751,KHAO,0.581,345.721,0.271,12.105,0.115,340.114,0.075,3.315,0.1,36.045,0.061,15.03,0.032,34.474,0.011,4.986
Geomun-do,127.3087721,34.0289592,KHAO,0.86,17.208,0.385,41.017,0.181,10.277,0.105,34.252,0.23,66.824,0.168,44.385,0.075,62.046,0.033,29.06
Goheung,127.3424153,34.4811691,KHAO,1.017,14.061,0.453,39.195,0.21,6.765,0.123,32.419,0.246,57.728,0.177,33.435,0.078,52.541,0.035,17.227
Gunsan outer port,126.5641622,35.9764245,KHAO,2.181,184.734,0.845,228.627,0.404,168.118,0.236,224.05,0.348,145.461,0.266,117.758,0.104,140.423,0.053,97.729
